country	year
Bosnia_and_Herzegovina	1992
Bosnia_and_Herzegovina	1997
Bosnia_and_Herzegovina	2002
Bosnia_and_Herzegovina	2007
Botswana	1952
Botswana	1957
Botswana	1962
Botswana	1967
Botswana	1972
Botswana	1977
Botswana	1982
Botswana	1987
Botswana	1992
Botswana	1997
Botswana	2002
Botswana	2007
Brazil	1952
Brazil	1957
Brazil	1962
Brazil	1967
Brazil	1972
Brazil	1977
Brazil	1982
Brazil	1987
Brazil	1992
Brazil	1997
Brazil	2002
Brazil	2007
Bulgaria	1952
Bulgaria	1957
Bulgaria	1962
Bulgaria	1967
Bulgaria	1972
Bulgaria	1977
Bulgaria	1982
Bulgaria	1987
Bulgaria	1992
Bulgaria	1997
Bulgaria	2002
Bulgaria	2007
Burkina_Faso	1952
Burkina_Faso	1957
Burkina_Faso	1962
Burkina_Faso	1967
Burkina_Faso	1972
Burkina_Faso	1977
Burkina_Faso	1982
Burkina_Faso	1987
Burkina_Faso	1992
Burkina_Faso	1997
Burkina_Faso	2002
Burkina_Faso	2007
Burundi	1952
Burundi	1957
Burundi	1962
Burundi	1967
Burundi	1972
Burundi	1977
Burundi	1982
Burundi	1987
Burundi	1992
Burundi	1997
Burundi	2002
Burundi	2007
Cambodia	1952
Cambodia	1957
Cambodia	1962
Cambodia	1967
Cambodia	1972
Cambodia	1977
Cambodia	1982
Cambodia	1987
Cambodia	1992
Cambodia	1997
Cambodia	2002
Cambodia	2007
Cameroon	1952
Cameroon	1957
Cameroon	1962
Cameroon	1967
Cameroon	1972
Cameroon	1977
Cameroon	1982
Cameroon	1987
Cameroon	1992
Cameroon	1997
Cameroon	2002
Cameroon	2007
Canada	1952
Canada	1957
Canada	1962
Canada	1967
Canada	1972
Canada	1977
Canada	1982
Canada	1987
Canada	1992
Canada	1997
Canada	2002
Canada	2007
Central_African_Republic	1952
Central_African_Republic	1957
Central_African_Republic	1962
Central_African_Republic	1967
Central_African_Republic	1972
Central_African_Republic	1977
Central_African_Republic	1982
Central_African_Republic	1987
Central_African_Republic	1992
Central_African_Republic	1997
Central_African_Republic	2002
Central_African_Republic	2007
Chad	1952
Chad	1957
Chad	1962
Chad	1967
Chad	1972
Chad	1977
Chad	1982
Chad	1987
Chad	1992
Chad	1997
Chad	2002
Chad	2007
Chile	1952
Chile	1957
Chile	1962
Chile	1967
Chile	1972
Chile	1977
Chile	1982
Chile	1987
Chile	1992
Chile	1997
Chile	2002
Chile	2007
China	1952
China	1957
China	1962
China	1967
China	1972
China	1977
China	1982
China	1987
China	1992
China	1997
China	2002
China	2007
Colombia	1952
Colombia	1957
Colombia	1962
Colombia	1967
Colombia	1972
Colombia	1977
Colombia	1982
Colombia	1987
Colombia	1992
Colombia	1997
Colombia	2002
Colombia	2007
Comoros	1952
Comoros	1957
Comoros	1962
Comoros	1967
Comoros	1972
Comoros	1977
Comoros	1982
Comoros	1987
Comoros	1992
Comoros	1997
Comoros	2002
Comoros	2007
Congo_Dem_Rep	1952
Congo_Dem_Rep	1957
Congo_Dem_Rep	1962
Congo_Dem_Rep	1967
Congo_Dem_Rep	1972
Congo_Dem_Rep	1977
Congo_Dem_Rep	1982
Congo_Dem_Rep	1987
Congo_Dem_Rep	1992
Congo_Dem_Rep	1997
Congo_Dem_Rep	2002
Congo_Dem_Rep	2007
Congo_Rep	1952
Congo_Rep	1957
Congo_Rep	1962
Congo_Rep	1967
Congo_Rep	1972
Congo_Rep	1977
Congo_Rep	1982
Congo_Rep	1987
Congo_Rep	1992
Congo_Rep	1997
Congo_Rep	2002
Congo_Rep	2007
Costa_Rica	1952
Costa_Rica	1957
Costa_Rica	1962
Costa_Rica	1967
Costa_Rica	1972
Costa_Rica	1977
Costa_Rica	1982
Costa_Rica	1987
Costa_Rica	1992
Costa_Rica	1997
Costa_Rica	2002
Costa_Rica	2007
Cote_d'Ivoire	1952
Cote_d'Ivoire	1957
Cote_d'Ivoire	1962
Cote_d'Ivoire	1967
Cote_d'Ivoire	1972
Cote_d'Ivoire	1977
Cote_d'Ivoire	1982
Cote_d'Ivoire	1987
Cote_d'Ivoire	1992
Cote_d'Ivoire	1997
Cote_d'Ivoire	2002
Cote_d'Ivoire	2007
Croatia	1952
Croatia	1957
Croatia	1962
Croatia	1967
Croatia	1972
Croatia	1977
Croatia	1982
Croatia	1987
Croatia	1992
Croatia	1997
Croatia	2002
Croatia	2007
Cuba	1952
Cuba	1957
Cuba	1962
Cuba	1967
Cuba	1972
Cuba	1977
Cuba	1982
Cuba	1987
Cuba	1992
Cuba	1997
Cuba	2002
Cuba	2007
Czech_Republic	1952
Czech_Republic	1957
Czech_Republic	1962
Czech_Republic	1967
Czech_Republic	1972
Czech_Republic	1977
Czech_Republic	1982
Czech_Republic	1987
Czech_Republic	1992
Czech_Republic	1997
Czech_Republic	2002
Czech_Republic	2007
Denmark	1952
Denmark	1957
Denmark	1962
Denmark	1967
Denmark	1972
Denmark	1977
Denmark	1982
Denmark	1987
Denmark	1992
Denmark	1997
Denmark	2002
Denmark	2007
Djibouti	1952
Djibouti	1957
Djibouti	1962
Djibouti	1967
Djibouti	1972
Djibouti	1977
Djibouti	1982
Djibouti	1987
Djibouti	1992
Djibouti	1997
Djibouti	2002
Djibouti	2007
Dominican_Republic	1952
Dominican_Republic	1957
Dominican_Republic	1962
Dominican_Republic	1967
Dominican_Republic	1972
Dominican_Republic	1977
Dominican_Republic	1982
Dominican_Republic	1987
Dominican_Republic	1992
Dominican_Republic	1997
Dominican_Republic	2002
Dominican_Republic	2007
Ecuador	1952
Ecuador	1957
Ecuador	1962
Ecuador	1967
Ecuador	1972
Ecuador	1977
Ecuador	1982
Ecuador	1987
Ecuador	1992
Ecuador	1997
Ecuador	2002
Ecuador	2007
Egypt	1952
Egypt	1957
Egypt	1962
Egypt	1967
Egypt	1972
Egypt	1977
Egypt	1982
Egypt	1987
Egypt	1992
Egypt	1997
Egypt	2002
Egypt	2007
El_Salvador	1952
El_Salvador	1957
El_Salvador	1962
El_Salvador	1967
El_Salvador	1972
El_Salvador	1977
El_Salvador	1982
El_Salvador	1987
El_Salvador	1992
El_Salvador	1997
El_Salvador	2002
El_Salvador	2007
Equatorial_Guinea	1952
Equatorial_Guinea	1957
Equatorial_Guinea	1962
Equatorial_Guinea	1967
Equatorial_Guinea	1972
Equatorial_Guinea	1977
Equatorial_Guinea	1982
Equatorial_Guinea	1987
Equatorial_Guinea	1992
Equatorial_Guinea	1997
Equatorial_Guinea	2002
Equatorial_Guinea	2007
Eritrea	1952
Eritrea	1957
Eritrea	1962
Eritrea	1967
Eritrea	1972
Eritrea	1977
Eritrea	1982
Eritrea	1987
Eritrea	1992
Eritrea	1997
Eritrea	2002
Eritrea	2007
Ethiopia	1952
Ethiopia	1957
Ethiopia	1962
Ethiopia	1967
Ethiopia	1972
Ethiopia	1977
Ethiopia	1982
Ethiopia	1987
Ethiopia	1992
Ethiopia	1997
Ethiopia	2002
Ethiopia	2007
Finland	1952
Finland	1957
Finland	1962
Finland	1967
Finland	1972
Finland	1977
Finland	1982
Finland	1987
Finland	1992
Finland	1997
Finland	2002
Finland	2007
France	1952
France	1957
France	1962
France	1967
France	1972
France	1977
France	1982
France	1987
France	1992
France	1997
France	2002
France	2007
Gabon	1952
Gabon	1957
Gabon	1962
Gabon	1967
Gabon	1972
Gabon	1977
Gabon	1982
Gabon	1987
Gabon	1992
Gabon	1997
Gabon	2002
Gabon	2007
Gambia	1952
Gambia	1957
Gambia	1962
Gambia	1967
Gambia	1972
Gambia	1977
Gambia	1982
Gambia	1987
Gambia	1992
Gambia	1997
Gambia	2002
Gambia	2007
Germany	1952
Germany	1957
Germany	1962
Germany	1967
Germany	1972
Germany	1977
Germany	1982
Germany	1987
Germany	1992
Germany	1997
Germany	2002
Germany	2007
Ghana	1952
Ghana	1957
Ghana	1962
Ghana	1967
Ghana	1972
Ghana	1977
Ghana	1982
Ghana	1987
Ghana	1992
Ghana	1997
Ghana	2002
Ghana	2007
Greece	1952
Greece	1957
Greece	1962
Greece	1967
Greece	1972
Greece	1977
Greece	1982
Greece	1987
Greece	1992
Greece	1997
Greece	2002
Greece	2007
Guatemala	1952
Guatemala	1957
Guatemala	1962
Guatemala	1967
Guatemala	1972
Guatemala	1977
Guatemala	1982
Guatemala	1987
Guatemala	1992
Guatemala	1997
Guatemala	2002
Guatemala	2007
Guinea	1952
Guinea	1957
Guinea	1962
Guinea	1967
Guinea	1972
Guinea	1977
Guinea	1982
Guinea	1987
Guinea	1992
Guinea	1997
Guinea	2002
Guinea	2007
Guinea-Bissau	1952
Guinea-Bissau	1957
Guinea-Bissau	1962
Guinea-Bissau	1967
Guinea-Bissau	1972
Guinea-Bissau	1977
Guinea-Bissau	1982
Guinea-Bissau	1987
Guinea-Bissau	1992
Guinea-Bissau	1997
Guinea-Bissau	2002
Guinea-Bissau	2007
Haiti	1952
Haiti	1957
Haiti	1962
Haiti	1967
Haiti	1972
Haiti	1977
Haiti	1982
Haiti	1987
Haiti	1992
Haiti	1997
Haiti	2002
Haiti	2007
Honduras	1952
Honduras	1957
Honduras	1962
Honduras	1967
Honduras	1972
Honduras	1977
Honduras	1982
Honduras	1987
Honduras	1992
Honduras	1997
Honduras	2002
Honduras	2007
Hong_Kong_China	1952
Hong_Kong_China	1957
Hong_Kong_China	1962
Hong_Kong_China	1967
Hong_Kong_China	1972
Hong_Kong_China	1977
Hong_Kong_China	1982
Hong_Kong_China	1987
Hong_Kong_China	1992
Hong_Kong_China	1997
Hong_Kong_China	2002
Hong_Kong_China	2007
Hungary	1952
Hungary	1957
Hungary	1962
Hungary	1967
Hungary	1972
Hungary	1977
Hungary	1982
Hungary	1987
Hungary	1992
Hungary	1997
Hungary	2002
Hungary	2007
Iceland	1952
Iceland	1957
Iceland	1962
Iceland	1967
Iceland	1972
Iceland	1977
Iceland	1982
Iceland	1987
Iceland	1992
Iceland	1997
Iceland	2002
Iceland	2007
India	1952
India	1957
India	1962
India	1967
India	1972
India	1977
India	1982
India	1987
India	1992
India	1997
India	2002
India	2007
Indonesia	1952
Indonesia	1957
Indonesia	1962
Indonesia	1967
Indonesia	1972
Indonesia	1977
Indonesia	1982
Indonesia	1987
Indonesia	1992
Indonesia	1997
Indonesia	2002
Indonesia	2007
Iran	1952
Iran	1957
Iran	1962
Iran	1967
Iran	1972
Iran	1977
Iran	1982
Iran	1987
Iran	1992
Iran	1997
Iran	2002
Iran	2007
Iraq	1952
Iraq	1957
Iraq	1962
Iraq	1967
Iraq	1972
Iraq	1977
Iraq	1982
Iraq	1987
Iraq	1992
Iraq	1997
Iraq	2002
Iraq	2007
Ireland	1952
Ireland	1957
Ireland	1962
Ireland	1967
Ireland	1972
Ireland	1977
Ireland	1982
Ireland	1987
Ireland	1992
Ireland	1997
Ireland	2002
Ireland	2007
Israel	1952
Israel	1957
Israel	1962
Israel	1967
Israel	1972
Israel	1977
Israel	1982
Israel	1987
Israel	1992
Israel	1997
Israel	2002
Israel	2007
Italy	1952
Italy	1957
Italy	1962
Italy	1967
Italy	1972
Italy	1977
Italy	1982
Italy	1987
Italy	1992
Italy	1997
Italy	2002
Italy	2007
Jamaica	1952
Jamaica	1957
Jamaica	1962
Jamaica	1967
Jamaica	1972
Jamaica	1977
Jamaica	1982
Jamaica	1987
Jamaica	1992
Jamaica	1997
Jamaica	2002
Jamaica	2007
Japan	1952
Japan	1957
Japan	1962
Japan	1967
Japan	1972
Japan	1977
Japan	1982
Japan	1987
Japan	1992
Japan	1997
Japan	2002
Japan	2007
Jordan	1952
Jordan	1957
Jordan	1962
Jordan	1967
Jordan	1972
Jordan	1977
Jordan	1982
Jordan	1987
Jordan	1992
Jordan	1997
Jordan	2002
Jordan	2007
Kenya	1952
Kenya	1957
Kenya	1962
Kenya	1967
Kenya	1972
Kenya	1977
Kenya	1982
Kenya	1987
Kenya	1992
Kenya	1997
Kenya	2002
Kenya	2007
Korea_Dem_Rep	1952
Korea_Dem_Rep	1957
Korea_Dem_Rep	1962
Korea_Dem_Rep	1967
Korea_Dem_Rep	1972
Korea_Dem_Rep	1977
Korea_Dem_Rep	1982
Korea_Dem_Rep	1987
Korea_Dem_Rep	1992
Korea_Dem_Rep	1997
Korea_Dem_Rep	2002
Korea_Dem_Rep	2007
Korea_Rep	1952
Korea_Rep	1957
Korea_Rep	1962
Korea_Rep	1967
Korea_Rep	1972
Korea_Rep	1977
Korea_Rep	1982
Korea_Rep	1987
Korea_Rep	1992
Korea_Rep	1997
Korea_Rep	2002
Korea_Rep	2007
Kuwait	1952
Kuwait	1957
Kuwait	1962
Kuwait	1967
Kuwait	1972
Kuwait	1977
Kuwait	1982
Kuwait	1987
Kuwait	1992
Kuwait	1997
Kuwait	2002
Kuwait	2007
Lebanon	1952
Lebanon	1957
Lebanon	1962
Lebanon	1967
Lebanon	1972
Lebanon	1977
Lebanon	1982
Lebanon	1987
Lebanon	1992
Lebanon	1997
Lebanon	2002
Lebanon	2007
Lesotho	1952
Lesotho	1957
Lesotho	1962
Lesotho	1967
Lesotho	1972
Lesotho	1977
Lesotho	1982
Lesotho	1987
Lesotho	1992
Lesotho	1997
Lesotho	2002
Lesotho	2007
Liberia	1952
Liberia	1957
Liberia	1962
Liberia	1967
Liberia	1972
Liberia	1977
Liberia	1982
Liberia	1987
Liberia	1992
Liberia	1997
Liberia	2002
Liberia	2007
Libya	1952
Libya	1957
Libya	1962
Libya	1967
Libya	1972
Libya	1977
Libya	1982
Libya	1987
Libya	1992
Libya	1997
Libya	2002
Libya	2007
Madagascar	1952
Madagascar	1957
Madagascar	1962
Madagascar	1967
Madagascar	1972
Madagascar	1977
Madagascar	1982
Madagascar	1987
Madagascar	1992
Madagascar	1997
Madagascar	2002
Madagascar	2007
Malawi	1952
Malawi	1957
Malawi	1962
Malawi	1967
Malawi	1972
Malawi	1977
Malawi	1982
Malawi	1987
Malawi	1992
Malawi	1997
Malawi	2002
Malawi	2007
Malaysia	1952
Malaysia	1957
Malaysia	1962
Malaysia	1967
Malaysia	1972
Malaysia	1977
Malaysia	1982
Malaysia	1987
Malaysia	1992
Malaysia	1997
Malaysia	2002
Malaysia	2007
Mali	1952
Mali	1957
Mali	1962
Mali	1967
Mali	1972
Mali	1977
Mali	1982
Mali	1987
Mali	1992
Mali	1997
Mali	2002
Mali	2007
Mauritania	1952
Mauritania	1957
Mauritania	1962
Mauritania	1967
Mauritania	1972
Mauritania	1977
Mauritania	1982
Mauritania	1987
Mauritania	1992
Mauritania	1997
Mauritania	2002
Mauritania	2007
Mauritius	1952
Mauritius	1957
Mauritius	1962
Mauritius	1967
Mauritius	1972
Mauritius	1977
Mauritius	1982
Mauritius	1987
Mauritius	1992
Mauritius	1997
Mauritius	2002
Mauritius	2007
Mexico	1952
Mexico	1957
Mexico	1962
Mexico	1967
Mexico	1972
Mexico	1977
Mexico	1982
Mexico	1987
Mexico	1992
Mexico	1997
Mexico	2002
Mexico	2007
Mongolia	1952
Mongolia	1957
Mongolia	1962
Mongolia	1967
Mongolia	1972
Mongolia	1977
Mongolia	1982
Mongolia	1987
Mongolia	1992
Mongolia	1997
Mongolia	2002
Mongolia	2007
Montenegro	1952
Montenegro	1957
Montenegro	1962
Montenegro	1967
Montenegro	1972
Montenegro	1977
Montenegro	1982
Montenegro	1987
Montenegro	1992
Montenegro	1997
Montenegro	2002
Montenegro	2007
Morocco	1952
Morocco	1957
Morocco	1962
Morocco	1967
Morocco	1972
Morocco	1977
Morocco	1982
Morocco	1987
Morocco	1992
Morocco	1997
Morocco	2002
Morocco	2007
Mozambique	1952
Mozambique	1957
Mozambique	1962
Mozambique	1967
Mozambique	1972
Mozambique	1977
Mozambique	1982
Mozambique	1987
Mozambique	1992
Mozambique	1997
Mozambique	2002
Mozambique	2007
Myanmar	1952
Myanmar	1957
Myanmar	1962
Myanmar	1967
Myanmar	1972
Myanmar	1977
Myanmar	1982
Myanmar	1987
Myanmar	1992
Myanmar	1997
Myanmar	2002
Myanmar	2007
Namibia	1952
Namibia	1957
Namibia	1962
Namibia	1967
Namibia	1972
Namibia	1977
Namibia	1982
Namibia	1987
Namibia	1992
Namibia	1997
Namibia	2002
Namibia	2007
Nepal	1952
Nepal	1957
Nepal	1962
Nepal	1967
Nepal	1972
Nepal	1977
Nepal	1982
Nepal	1987
Nepal	1992
Nepal	1997
Nepal	2002
Nepal	2007
Netherlands	1952
Netherlands	1957
Netherlands	1962
Netherlands	1967
Netherlands	1972
Netherlands	1977
Netherlands	1982
Netherlands	1987
Netherlands	1992
Netherlands	1997
Netherlands	2002
Netherlands	2007
New_Zealand	1952
New_Zealand	1957
New_Zealand	1962
New_Zealand	1967
New_Zealand	1972
New_Zealand	1977
New_Zealand	1982
New_Zealand	1987
New_Zealand	1992
New_Zealand	1997
New_Zealand	2002
New_Zealand	2007
Nicaragua	1952
Nicaragua	1957
Nicaragua	1962
Nicaragua	1967
Nicaragua	1972
Nicaragua	1977
Nicaragua	1982
Nicaragua	1987
Nicaragua	1992
Nicaragua	1997
Nicaragua	2002
Nicaragua	2007
Niger	1952
Niger	1957
Niger	1962
Niger	1967
Niger	1972
Niger	1977
Niger	1982
Niger	1987
Niger	1992
Niger	1997
Niger	2002
Niger	2007
Nigeria	1952
Nigeria	1957
Nigeria	1962
Nigeria	1967
Nigeria	1972
Nigeria	1977
Nigeria	1982
Nigeria	1987
Nigeria	1992
Nigeria	1997
Nigeria	2002
Nigeria	2007
Norway	1952
Norway	1957
Norway	1962
Norway	1967
Norway	1972
Norway	1977
Norway	1982
Norway	1987
Norway	1992
Norway	1997
Norway	2002
Norway	2007
Oman	1952
Oman	1957
Oman	1962
Oman	1967
Oman	1972
Oman	1977
Oman	1982
Oman	1987
Oman	1992
Oman	1997
Oman	2002
Oman	2007
Pakistan	1952
Pakistan	1957
Pakistan	1962
Pakistan	1967
Pakistan	1972
Pakistan	1977
Pakistan	1982
Pakistan	1987
Pakistan	1992
Pakistan	1997
Pakistan	2002
Pakistan	2007
Panama	1952
Panama	1957
Panama	1962
Panama	1967
Panama	1972
Panama	1977
Panama	1982
Panama	1987
Panama	1992
Panama	1997
Panama	2002
Panama	2007
Paraguay	1952
Paraguay	1957
Paraguay	1962
Paraguay	1967
Paraguay	1972
Paraguay	1977
Paraguay	1982
Paraguay	1987
Paraguay	1992
Paraguay	1997
Paraguay	2002
Paraguay	2007
Peru	1952
Peru	1957
Peru	1962
Peru	1967
Peru	1972
Peru	1977
Peru	1982
Peru	1987
Peru	1992
Peru	1997
Peru	2002
Peru	2007
Philippines	1952
Philippines	1957
Philippines	1962
Philippines	1967
Philippines	1972
Philippines	1977
Philippines	1982
Philippines	1987
Philippines	1992
Philippines	1997
Philippines	2002
Philippines	2007
Poland	1952
Poland	1957
Poland	1962
Poland	1967
Poland	1972
Poland	1977
Poland	1982
Poland	1987
Poland	1992
Poland	1997
Poland	2002
Poland	2007
Portugal	1952
Portugal	1957
Portugal	1962
Portugal	1967
Portugal	1972
Portugal	1977
Portugal	1982
Portugal	1987
Portugal	1992
Portugal	1997
Portugal	2002
Portugal	2007
Puerto_Rico	1952
Puerto_Rico	1957
Puerto_Rico	1962
Puerto_Rico	1967
Puerto_Rico	1972
Puerto_Rico	1977
Puerto_Rico	1982
Puerto_Rico	1987
Puerto_Rico	1992
Puerto_Rico	1997
Puerto_Rico	2002
Puerto_Rico	2007
Reunion	1952
Reunion	1957
Reunion	1962
Reunion	1967
Reunion	1972
Reunion	1977
Reunion	1982
Reunion	1987
Reunion	1992
Reunion	1997
Reunion	2002
Reunion	2007
Romania	1952
Romania	1957
Romania	1962
Romania	1967
Romania	1972
Romania	1977
Romania	1982
Romania	1987
Romania	1992
Romania	1997
Romania	2002
Romania	2007
Rwanda	1952
Rwanda	1957
Rwanda	1962
Rwanda	1967
Rwanda	1972
Rwanda	1977
Rwanda	1982
Rwanda	1987
Rwanda	1992
Rwanda	1997
Rwanda	2002
Rwanda	2007
Sao_Tome_and_Principe	1952
Sao_Tome_and_Principe	1957
Sao_Tome_and_Principe	1962
Sao_Tome_and_Principe	1967
Sao_Tome_and_Principe	1972
Sao_Tome_and_Principe	1977
Sao_Tome_and_Principe	1982
Sao_Tome_and_Principe	1987
Sao_Tome_and_Principe	1992
Sao_Tome_and_Principe	1997
Sao_Tome_and_Principe	2002
Sao_Tome_and_Principe	2007
Saudi_Arabia	1952
Saudi_Arabia	1957
Saudi_Arabia	1962
Saudi_Arabia	1967
Saudi_Arabia	1972
Saudi_Arabia	1977
Saudi_Arabia	1982
Saudi_Arabia	1987
Saudi_Arabia	1992
Saudi_Arabia	1997
Saudi_Arabia	2002
Saudi_Arabia	2007
Senegal	1952
Senegal	1957
Senegal	1962
Senegal	1967
Senegal	1972
Senegal	1977
Senegal	1982
Senegal	1987
Senegal	1992
Senegal	1997
Senegal	2002
Senegal	2007
Serbia	1952
Serbia	1957
Serbia	1962
Serbia	1967
Serbia	1972
Serbia	1977
Serbia	1982
Serbia	1987
Serbia	1992
Serbia	1997
Serbia	2002
Serbia	2007
Sierra_Leone	1952
Sierra_Leone	1957
Sierra_Leone	1962
Sierra_Leone	1967
Sierra_Leone	1972
Sierra_Leone	1977
Sierra_Leone	1982
Sierra_Leone	1987
Sierra_Leone	1992
Sierra_Leone	1997
Sierra_Leone	2002
Sierra_Leone	2007
Singapore	1952
Singapore	1957
Singapore	1962
Singapore	1967
Singapore	1972
Singapore	1977
Singapore	1982
Singapore	1987
Singapore	1992
Singapore	1997
Singapore	2002
Singapore	2007
Slovak_Republic	1952
Slovak_Republic	1957
Slovak_Republic	1962
Slovak_Republic	1967
Slovak_Republic	1972
Slovak_Republic	1977
Slovak_Republic	1982
Slovak_Republic	1987
Slovak_Republic	1992
Slovak_Republic	1997
Slovak_Republic	2002
Slovak_Republic	2007
Slovenia	1952
Slovenia	1957
Slovenia	1962
Slovenia	1967
Slovenia	1972
Slovenia	1977
Slovenia	1982
Slovenia	1987
Slovenia	1992
Slovenia	1997
Slovenia	2002
Slovenia	2007
Somalia	1952
Somalia	1957
Somalia	1962
Somalia	1967
Somalia	1972
Somalia	1977
Somalia	1982
Somalia	1987
Somalia	1992
Somalia	1997
Somalia	2002
Somalia	2007
South_Africa	1952
South_Africa	1957
South_Africa	1962
South_Africa	1967
South_Africa	1972
South_Africa	1977
South_Africa	1982
South_Africa	1987
South_Africa	1992
South_Africa	1997
South_Africa	2002
South_Africa	2007
Spain	1952
Spain	1957
Spain	1962
Spain	1967
Spain	1972
Spain	1977
Spain	1982
Spain	1987
Spain	1992
Spain	1997
Spain	2002
Spain	2007
Sri_Lanka	1952
Sri_Lanka	1957
Sri_Lanka	1962
Sri_Lanka	1967
Sri_Lanka	1972
Sri_Lanka	1977
Sri_Lanka	1982
Sri_Lanka	1987
Sri_Lanka	1992
Sri_Lanka	1997
Sri_Lanka	2002
Sri_Lanka	2007
Sudan	1952
Sudan	1957
Sudan	1962
Sudan	1967
Sudan	1972
Sudan	1977
Sudan	1982
Sudan	1987
Sudan	1992
Sudan	1997
Sudan	2002
Sudan	2007
Swaziland	1952
Swaziland	1957
Swaziland	1962
Swaziland	1967
Swaziland	1972
Swaziland	1977
Swaziland	1982
Swaziland	1987
Swaziland	1992
Swaziland	1997
Swaziland	2002
Swaziland	2007
Sweden	1952
Sweden	1957
Sweden	1962
Sweden	1967
Sweden	1972
Sweden	1977
Sweden	1982
Sweden	1987
Sweden	1992
Sweden	1997
Sweden	2002
Sweden	2007
Switzerland	1952
Switzerland	1957
Switzerland	1962
Switzerland	1967
Switzerland	1972
Switzerland	1977
Switzerland	1982
Switzerland	1987
Switzerland	1992
Switzerland	1997
Switzerland	2002
Switzerland	2007
Syria	1952
Syria	1957
Syria	1962
Syria	1967
Syria	1972
Syria	1977
Syria	1982
Syria	1987
Syria	1992
Syria	1997
Syria	2002
Syria	2007
Taiwan	1952
Taiwan	1957
Taiwan	1962
Taiwan	1967
Taiwan	1972
Taiwan	1977
Taiwan	1982
Taiwan	1987
Taiwan	1992
Taiwan	1997
Taiwan	2002
Taiwan	2007
Tanzania	1952
Tanzania	1957
Tanzania	1962
Tanzania	1967
Tanzania	1972
Tanzania	1977
Tanzania	1982
Tanzania	1987
Tanzania	1992
Tanzania	1997
Tanzania	2002
Tanzania	2007
Thailand	1952
Thailand	1957
Thailand	1962
Thailand	1967
Thailand	1972
Thailand	1977
Thailand	1982
Thailand	1987
Thailand	1992
Thailand	1997
Thailand	2002
Thailand	2007
Togo	1952
Togo	1957
Togo	1962
Togo	1967
Togo	1972
Togo	1977
Togo	1982
Togo	1987
Togo	1992
Togo	1997
Togo	2002
Togo	2007
Trinidad_and_Tobago	1952
Trinidad_and_Tobago	1957
Trinidad_and_Tobago	1962
Trinidad_and_Tobago	1967
Trinidad_and_Tobago	1972
Trinidad_and_Tobago	1977
Trinidad_and_Tobago	1982
Trinidad_and_Tobago	1987
Trinidad_and_Tobago	1992
Trinidad_and_Tobago	1997
Trinidad_and_Tobago	2002
Trinidad_and_Tobago	2007
Tunisia	1952
Tunisia	1957
Tunisia	1962
Tunisia	1967
Tunisia	1972
Tunisia	1977
Tunisia	1982
Tunisia	1987
Tunisia	1992
